sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
321;SDS011;148;51.480;7.208;2023-01-03T20:25:44;9.03;;;3.03;;
321;SDS011;148;51.480;7.208;2023-01-03T20:28:15;13.90;;;4.23;;
321;SDS011;148;51.480;7.208;2023-01-03T20:30:42;6.27;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T20:33:08;4.73;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T20:35:34;8.13;;;3.00;;
321;SDS011;148;51.480;7.208;2023-01-03T20:38:00;5.43;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T20:40:26;7.60;;;2.87;;
321;SDS011;148;51.480;7.208;2023-01-03T20:42:54;6.13;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T20:45:21;5.80;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T20:47:48;4.43;;;3.40;;
321;SDS011;148;51.480;7.208;2023-01-03T20:50:18;7.43;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T20:52:45;7.57;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T20:55:15;7.40;;;2.90;;
321;SDS011;148;51.480;7.208;2023-01-03T20:57:42;8.13;;;2.73;;
321;SDS011;148;51.480;7.208;2023-01-03T21:00:16;3.50;;;2.53;;
321;SDS011;148;51.480;7.208;2023-01-03T21:02:46;11.13;;;2.57;;
321;SDS011;148;51.480;7.208;2023-01-03T21:05:13;9.30;;;2.63;;
321;SDS011;148;51.480;7.208;2023-01-03T21:07:38;5.80;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T21:10:34;7.30;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T21:13:02;5.87;;;2.77;;
321;SDS011;148;51.480;7.208;2023-01-03T21:15:28;4.40;;;2.43;;
321;SDS011;148;51.480;7.208;2023-01-03T21:17:53;4.30;;;2.50;;
321;SDS011;148;51.480;7.208;2023-01-03T21:20:23;6.73;;;3.20;;
321;SDS011;148;51.480;7.208;2023-01-03T21:22:51;9.10;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T21:25:24;7.53;;;3.13;;
321;SDS011;148;51.480;7.208;2023-01-03T21:27:56;8.53;;;3.60;;
321;SDS011;148;51.480;7.208;2023-01-03T21:30:22;11.43;;;3.33;;
321;SDS011;148;51.480;7.208;2023-01-03T21:32:49;9.97;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T21:35:16;4.57;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T21:37:44;7.17;;;3.67;;
321;SDS011;148;51.480;7.208;2023-01-03T21:40:27;5.80;;;2.53;;
321;SDS011;148;51.480;7.208;2023-01-03T21:42:56;8.60;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T21:47:56;3.50;;;2.57;;
321;SDS011;148;51.480;7.208;2023-01-03T21:50:22;6.90;;;2.43;;
321;SDS011;148;51.480;7.208;2023-01-03T21:52:48;6.87;;;2.50;;
321;SDS011;148;51.480;7.208;2023-01-03T21:55:14;6.43;;;2.97;;
321;SDS011;148;51.480;7.208;2023-01-03T21:57:41;6.63;;;2.57;;
321;SDS011;148;51.480;7.208;2023-01-03T22:00:07;10.40;;;2.97;;
321;SDS011;148;51.480;7.208;2023-01-03T22:02:35;7.03;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T22:05:20;3.83;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T22:07:46;13.67;;;3.40;;
321;SDS011;148;51.480;7.208;2023-01-03T22:10:11;7.33;;;3.70;;
321;SDS011;148;51.480;7.208;2023-01-03T22:12:40;7.17;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T22:15:06;5.07;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T22:17:36;7.47;;;2.50;;
321;SDS011;148;51.480;7.208;2023-01-03T22:20:04;5.80;;;3.03;;
321;SDS011;148;51.480;7.208;2023-01-03T22:22:33;6.63;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T22:24:58;6.73;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T22:27:24;5.57;;;2.53;;
321;SDS011;148;51.480;7.208;2023-01-03T22:29:50;10.60;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T22:32:15;7.17;;;3.10;;
321;SDS011;148;51.480;7.208;2023-01-03T22:34:45;5.23;;;2.40;;
321;SDS011;148;51.480;7.208;2023-01-03T22:37:11;5.57;;;2.30;;
321;SDS011;148;51.480;7.208;2023-01-03T22:39:36;7.20;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T22:42:02;7.00;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T22:44:28;5.67;;;2.63;;
321;SDS011;148;51.480;7.208;2023-01-03T22:46:53;4.90;;;2.73;;
321;SDS011;148;51.480;7.208;2023-01-03T22:49:19;10.73;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T22:51:45;5.80;;;3.43;;
321;SDS011;148;51.480;7.208;2023-01-03T22:54:10;4.70;;;2.83;;
321;SDS011;148;51.480;7.208;2023-01-03T22:56:36;7.40;;;2.93;;
321;SDS011;148;51.480;7.208;2023-01-03T22:59:01;9.03;;;2.80;;
321;SDS011;148;51.480;7.208;2023-01-03T23:01:27;5.20;;;2.60;;
321;SDS011;148;51.480;7.208;2023-01-03T23:03:53;12.83;;;3.73;;
321;SDS011;148;51.480;7.208;2023-01-03T23:06:20;15.13;;;3.67;;
321;SDS011;148;51.480;7.208;2023-01-03T23:08:46;5.53;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T23:11:15;5.80;;;2.70;;
321;SDS011;148;51.480;7.208;2023-01-03T23:14:02;4.37;;;2.50;;
321;SDS011;148;51.480;7.208;2023-01-03T23:16:30;5.13;;;2.47;;
321;SDS011;148;51.480;7.208;2023-01-03T23:18:56;9.53;;;3.10;;
